DATE,UTC_TIME,MAG,LAT,LON,DEPTH
2019/07/06,03:36:28.48,3.85,35.6625,-117.5445,3.2
2019/07/06,03:37:05.16,3.63,35.73267,-117.52683,2.6
2019/07/06,03:37:25.27,3.53,35.87183,-117.70133,6.1
2019/07/06,03:38:22.93,3.79,35.91283,-117.71233,6.7
2019/07/06,03:38:56.10,3.45,35.64833,-117.46733,4.2
2019/07/06,03:39:02.72,3.69,35.71667,-117.5515,10.5
2019/07/06,03:39:14.68,3.84,35.61367,-117.433,9.8
2019/07/06,03:39:34.11,3.74,35.90217,-117.74267,8.8
2019/07/06,03:39:41.27,3.24,35.90283,-117.72083,8.2
2019/07/06,03:40:04.14,3.65,35.91333,-117.703,7
2019/07/06,03:40:32.54,3.42,35.78017,-117.62817,5.7
2019/07/06,03:40:51.43,3.49,35.77417,-117.61183,9.9
2019/07/06,03:41:14.11,3.14,35.63983,-117.43633,3.3
2019/07/06,03:41:38.65,3.98,35.89233,-117.722,7.9
2019/07/06,03:42:25.64,3.3,35.758,-117.56133,7.6
2019/07/06,03:42:45.76,3.57,35.866,-117.68483,5
2019/07/06,03:42:52.53,3.86,35.878,-117.70167,4.6
2019/07/06,03:43:09.04,3.85,35.8865,-117.69383,9.5
2019/07/06,03:44:01.60,3.86,35.9135,-117.72767,7
2019/07/06,03:44:17.67,3.96,35.9045,-117.693,6.4
2019/07/06,03:44:50.15,3.29,35.89717,-117.7305,9.8
2019/07/06,03:45:09.01,3.47,35.91867,-117.71883,3.3
2019/07/06,03:45:13.21,3.49,35.90267,-117.74267,8.5
2019/07/06,03:45:29.32,3.46,35.8835,-117.72767,7.5
2019/07/06,03:45:54.83,3.52,35.70367,-117.50633,11.1
2019/07/06,03:46:26.87,4.26,35.6805,-117.47033,6.8
2019/07/06,03:46:38.50,3.72,35.65733,-117.45,2.1
2019/07/06,03:47:00.08,3.57,35.902,-117.74367,8.5
2019/07/06,03:47:53.42,5.5,35.90117,-117.7495,5
2019/07/06,03:48:24.66,3.98,35.9025,-117.69,0.5
2019/07/06,03:49:24.98,3.78,35.55717,-117.38517,3.5
2019/07/06,03:49:52.42,3.83,35.82617,-117.68417,7.1
